Patología,Medicamentos,Observaciones,Acciones
Absceso cerebral,"TAC de cráneo con contraste IC a Neurocirugía, Neurología. Hospitalizar Reposo absoluto con cabecera en línea media a 30°. Régimen cero. Monitoreo continuo de PA, Sat02, T°, HGT preDAOC. Instalación de SNG hasta evaluación por Fonoaudiología. Oxigenoterapia solo si SatO2 <93%. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. Paracetamol 1gr cada 8 horas por SNG solo si T°>37,8°C. ATB EV amplio espectro. Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d.","Clínica de tumor cerebral + fiebre. Cefalea crónica o subaguda en aumento, Triada (HTEC + Focalidad + Convulsiones focales o parciales), HTEC: vomitos, nauseas, cefalea, edema de papila.",
Absceso parafaringeo,"TAC con contraste de cuello IC Cirujano, Otorrinolaringólogo - ORL Hospitalizar Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d. ATB EV amplio espectro. Evlauar criterio de amigdalectomía. Qx: Drenaje de absceso.","% Streptococo pyogenes SGA. Complicación piógena de amigdalitis bacteriana. Dg: Clínico: Dolor a los movimientos laterales del cuello, Odinofagia intensa, unilateral, Trismus (imposibilidad de abrir o cerrar boca por dolor), abombamiento de pilar amigdalino, fiebre.",
Absceso periamigdalino,"TAC con contraste de cuello IC Cirujano, Otorrinolaringólogo - ORL Hospitalizar Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d. ATB EV amplio espectro. Evlauar criterio de amigdalectomía. Qx: Drenaje de absceso.","% Streptococo pyogenes SGA. Complicación piógena de amigdalitis bacteriana mas frecuente. Dg: Clínico: Odinofagia intensa, unilateral, Trismus (imposibilidad de abrir o cerrar boca por dolor), abombamiento de pilar amigdalino, fiebre.",
Absceso pulmonar,"(*) Clindamicina 600 mg/4ml EV + Drenaje Kinesiologico postural. Qx: Broncoscopia, localización Central. Qx: Punción Percutánea, localización Periférico.","% Anaerobio. Dg: Rx tórax AP-Lat (único, cavitado con nivel hidroaéreo) Clínica: Expectoración Pútrida y fétida, dolor torácico, tos, febrícula. (i) ATB EV + Drenaje Kine, Solo si falla Drenar con Qx: en caso de estar central con Broncoscopia. En caso de ser periférico con Punción percutánea.",
Absceso retrofaringeo,"TAC con contraste de cuello IC Cirujano, Otorrinolaringólogo - ORL Hospitalizar Ceftriaxona 1gr EV. DI: 1-2gr EV c 12 hrs. (niños <12 a= adulto) DP: 50mg/kg/dosis c 12 hrs. Dmx 2 gr/d. ATB EV amplio espectro. Evaluar criterio de amigdalectomía. Qx: Drenaje de absceso.","% Streptococo pyogenes SGA. Complicación piógena de amigdalitis bacteriana (Muy grave). Dg: Clínico: Dolor a los movimientos anteroposteriores del cuello, Odinofagia intensa, unilateral, Trismus (imposibilidad de abrir o cerrar boca por dolor), abombamiento de pilar amigdalino, fiebre.",
Acalasia,"Isosorbide 10 mg comprimidos, en fase inicial. Nitroglicerina 0,3 mg por vez, en fase inicial. Nifedipino 20 mg, en fase inicial. Diltiazem 30 mg, en fase inicial. Inyección de toxina botulínica (Botox) por Endoscopia digestiva alta (EDA), en etapas iniciales. Qx: Esfinterotomía Esofágico Inferior (EEI) Interconsulta a Gastroenterología, Nutricionista.","Trastorno motor con contracción tónica del Esfínter Esofágico Inferior (EEI) Disfagia ilógica y baja, fluctuante. NAC aspirativas, Reflujo no ácido. (i) Dg: Manometría esofágica: baja peristalsis y aumento del tono EEI. Rx cervical con contraste ayuda.",
Acatisia - Inquietud en piernas,"Suspender, Cambiar o ajustar dosis de fármaco. Propanolol 10-40 mg. DI: 10-40 mg cada 8-12 hrs VO. (Transitorio) Diazepam 5-10 mg. DI: 5 mg noche VO. DMX: 30 mg dia. (RR) Clonazepam 0,5 - 2 mg. DI: 0.5 mg noche VO. DMx 4 mg noche. NC: Clonapam, Ravotril, Valpax, Clonex, Neuryl, Acepran 1mg (RR) Alprazolam 0.25-0.5 mg. DI: 0.25 mg noche VO. DMx: 4mg dia. NC: Adax (RR). Midazolam 7.5-15 mg. DI: 7.5 mg noche VO. NC: Dormonid","% Fármacos: Antipsicóticos (Risperidona) y Antidepresivos. Disestesias de extremidades inferiores que generan tal incomodidad que debe cambiar posición continuamente, es transitoria. (i) Propanolol y/o Benzodiacepinas (BZD) dar transitoriamente.",
Accidente Isquemico Transitorio - AIT/TIA,"TAC de cerebro sin contraste. Reposo absoluto con cabecera en línea media a 30°. Régimen cero. Monitoreo continuo de PA, T°, Sat02, HGT preDAOC. Oxigenoterapia solo si SatO2 <93%. (*) Ácido acetilsalicílico 325 mg al día por SNG. NC: Aspirina. (*) Atorvastatina 80 mg al día por SNG. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS. Captopril 25mg vía SL, solo si PAS >220mmHg y/o PAD >120mmHg y/o PAM >150mmHg. (ac) Labetalol 5mg/ml. DI: 20 mg EV, solo si PAS >220mmHg y/o PAD >120mmHg y/o PAM >150mmHg. Estudio de Fuente embolica. Mantengo antihipertensivos de base VO. HGT preDAOC + IC según esquema al 50% (objetivo HGT 90 a 160mg/dL). MAE - Medias anti-embolicas o Enoxaparina o Heparina no fraccionada según PADUA/IMPROVE: Heparina SC post 48 hrs de episodio. Control de signos vitales cada 6 horas IC Neurología (cursada al ingreso).","Dg: Clínico. Focalidad que resuelve completamente antes de 24 horas, mas frecuente 1 hora. Estudio de Fuente embolica: Eco Doppler carotideo, Ecocardiograma, Holter de Ritmo 24 hrs.",
Acne Comedoniano o Inflamatorio (leve - moderado),"MG: Aseo frecuente con agua. Peroxido de Benzoilo tópico. Uso: cada 12 hrs previo aseo. NC: Solugel 4%, Benzac AC 2.5-5-10%. (*) Clindamicina 1% crema. Uso: c 12 hrs previo aseo.  NC: Clidan-B, Indoxyl (Clindamicina + P. de Benzoilo) Eritromicina 4% crema.  Uso: c 12 hrs previo aseo. NC: Benzamycin. Bacitracina/Neomicina tópico.  Uso: c 12 hrs previo aseo. (ac) Doxiciclina 100 mg.  DI: 100 mg c 12 hrs VO. (ac) Isotretinoina 10 mg. DI: 0,5 mg/kg/día VO por 15 sem + Bloqueador Solar.","(i) Aseo facial, tratamiento de 3 semanas a 3 meses. (i) En caso de dermatitis suspender Peroxido de Benzoilo. (i) Doxicilina: casos más graves o no respuesta. (i) Isotretinoina 10 mg VO: en casos mas graves. NO exponer al Sol. NO DAR a embrazada. Riesgo de hepatitis, sequedad labios. Usar bloqueador solar.",
Acne Conglobata - Nodulo Quistico - Severo,"MG: Aseo frecuente con agua. (*) Doxiciclina 100 mg. DI: 100 mg c 12 hrs VO. (*) Isotretinoina 10 mg. DI: 0,5mg/kg/dia VO por 15 sem + Bloqueador solar.","(*) Isotretinoina 10 mg, en casos más graves. NO exponer al Sol. NO DAR a embrazada. Riesgo de hepatitis, sequedad labios. Usar bloqueador solar.",
